smiles,Activity2
CCS(=O)(=O)N1CCN(C(=O)n2sc3ncccc3c2=O)CC1,1.0
C=CC(=O)NCC(=O)N1CCN(C(=O)OCc2ccc3ccccc3c2)CC1,1.0
NNC(=O)CSc1nc2sc3c(c2c(=O)n1-c1cccc(F)c1)CCCC3,1.0
C=CC(=O)Nc1ccc(S(=O)(=O)NC2CCN(C(=O)OCc3ccccc3)CC2)cc1,1.0
C=CC(=O)NC1CCN(S(=O)(=O)c2ccc(C(=O)NCCc3ccc(OC)c(OC)c3)cc2)CC1,1.0
C=CC(=O)NC1CCN(S(=O)(=O)c2ccc(C(=O)N(C)CCc3ccccc3)cc2)CC1,1.0
CCCCC(NC(=O)C(CCC=CC(=O)OC)NC(=O)C(CC(=O)O)NC(C)=O)C(=O)NC(CCCC)C(=O)NC(CC(C)C)C(=O)N1CCCC1C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O,1.0
NNC(=O)CSc1nc2scc(-c3ccccc3)c2c(=O)n1-c1ccccc1F,1.0
C=CC(=O)Nc1ccc(S(=O)(=O)N2CCC(NC(=O)OCc3ccccc3)C2)cc1,1.0
COC(=O)C=CCCC(NC(=O)c1cc([N+](=O)[O-])ccc1C(=O)O)C(=O)NC(C(=O)N1CC2C(C1C(=O)NC(C(=O)NC(C(N)=O)C1CCCCC1)C1CCCCC1)C2(C)C)C(C)(C)C,1.0
C=CC(=O)Nc1ccc(S(=O)(=O)N2CCC(NC(=O)OCc3ccccc3)C2)cc1,1.0
C=CC(=O)NC1CCN(S(=O)(=O)c2ccc(C(=O)NCCc3ccc(C(F)(F)F)cc3)cc2)CC1,1.0
O=C1Nc2ccc(Br)cc2C1=CC(=O)c1cccnc1,1.0
O=C(C=C1C(=O)N(c2ccccc2)c2cccc(Cl)c21)c1cccnc1,1.0
C=CC(=O)NCCCCC(NC(=O)OCc1ccccc1)C(=O)N1CCCC1,1.0
C=CC(=O)Nc1ccc(S(=O)(=O)NC2CCN(C(=O)OCc3ccccc3)C2)cc1,1.0
CC(C)CC(NC(=O)C(CCCCNC(=O)C=O)NC(=O)C1CCCN1C(=O)C(CCC(N)=O)NC(=O)C1CCCN1)C(=O)N1CCCC1C(=O)NC(Cc1ccccc1)C(=O)O,0.0
CC(C)CC(NC(=O)C(NC(=O)C=O)NC(=O)C1CCCN1C(=O)C(CCC(N)=O)NC(=O)C1CCCN1)C(=O)N1CCCC1C(=O)NC(Cc1ccccc1)C(=O)O,0.0
CC(=O)NCCC(NC(=O)C1CCCN1C(=O)C(CCC(N)=O)NC(=O)C1CCCN1C(=O)c1ccc2c(c1)C(=O)OC21c2ccc(O)cc2Oc2cc(O)ccc21)C(=O)NC(CC(C)C)C(=O)N1CCCC1C(=O)NC(Cc1ccccc1)C(=O)O,0.0
Cn1c(COC(=O)N2CCCC2C(=O)NCC2CC(Br)=NO2)nc2ccccc21,0.0
COc1cccc(COC(=O)N2CCCC2C(=O)NCC2CC(Br)=NO2)c1OC,0.0
O=C(NCC1CC(Br)=NO1)C1CCCN1C(=O)OCc1nc2ccccc2[nH]1,0.0
Nc1nc2c(ncn2C2OC(COP(=O)(O)OP(=O)(O)NP(=O)(O)O)C(O)C2O)c(=O)[nH]1,0.0
CC(C)C(=CC(=O)n1nnc2ccccc21)c1ccc([N+](=O)[O-])cc1,0.0
O=C(c1cn(Cc2ccc(F)cc2)nn1)c1cn(Cc2ccc([N+](=O)[O-])cc2)nn1,0.0
CC(=CC(=O)n1nnc2ccccc21)c1ccc([N+](=O)[O-])cc1,0.0
O=C(c1cn(Cc2ccc(Br)cc2)nn1)c1cn(Cc2ccc([N+](=O)[O-])cc2)nn1,0.0
O=C(c1cn(Cc2ccc(C(F)(F)F)cc2)nn1)c1cn(Cc2ccc(C(F)(F)F)cc2)nn1,0.0
CC(C)C(=CC(=O)n1nnc2ccccc21)c1ccc([N+](=O)[O-])cc1,0.0
COc1ccc(Cn2cc(C(=O)c3cn(Cc4ccc([N+](=O)[O-])cc4)nn3)nn2)cc1,0.0
O=[N+]([O-])c1cccc(-c2cc(-c3cccnc3)on2)c1,0.0
O=C(c1cn(Cc2ccc([N+](=O)[O-])cc2)nn1)c1cn(CC2CCCCC2)nn1,0.0
O=C(c1cn(Cc2ccccc2)nn1)c1cn(Cc2ccc([N+](=O)[O-])cc2)nn1,0.0
O=C(NC(Cc1ccccc1)C(=O)NCC1CC(Br)=NO1)Oc1cccnc1,0.0
O=C(NC(Cc1ccccc1)C(=O)NCC1CC(Br)=NO1)OCc1ccccc1,0.0
O=C(NC(Cc1ccccc1)C(=O)NCC1CC(Br)=NO1)OCC1=Cc2ccccc2S1(=O)=O,0.0
O=C(NC(CCc1ccccc1)C(=O)NCC1CC(Br)=NO1)OCc1ccccc1,0.0
O=C(NC(CCc1cccc(F)c1)C(=O)NCC1CC(Br)=NO1)OCc1ccccc1,0.0
O=C(NC(Cc1c[nH]c2ccc(O)cc12)C(=O)NCC1CC(Br)=NO1)OCc1ccccc1,0.0
O=C(NC(Cc1c[nH]c2ccc(O)cc12)C(=O)NCC1CC(Br)=NO1)OCC1=Cc2ccccc2S1(=O)=O,0.0
O=C(NC(CCc1ccc(O)cc1)C(=O)NCC1CC(Br)=NO1)OCc1ccccc1,0.0
CC(NC(=O)OCc1ccccc1)C(=O)NCC1CC(Br)=NO1,0.0
CC(=O)NC(Cc1ccccc1)C(=O)NCC1CC(Br)=NO1,0.0
O=C(CC(NC(=O)OCc1ccccc1)C(=O)NCC1CC(Br)=NO1)NCc1ccccc1,0.0
